time,protocol,src_ip,dst_ip,minute
2004-12-05 22:16:24.317453,DHCP,0.0.0.0,255.255.255.255,2004-12-05 22:16:00
2004-12-05 22:16:24.317748,DHCP,192.168.0.1,192.168.0.10,2004-12-05 22:16:00
2004-12-05 22:16:24.387484,DHCP,0.0.0.0,255.255.255.255,2004-12-05 22:16:00
2004-12-05 22:16:24.387798,DHCP,192.168.0.1,192.168.0.10,2004-12-05 22:16:00
